Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
59	-12.534732	2.4069586	-7.970503	-19.612696	50.0	-5.0705514	2.6050482	0.8018592	-11.402827	300000	7.808208e-09	2.1102576	-0.028241716	-0.083518505	-0.21855894	0.007848037	0.1224	79.0	231.72326588630676
60	-11.993146	2.5212383	-8.241397	-18.47129	50.0	-4.909543	2.4744802	0.092523634	-11.432184	305000	-1.2397766e-09	2.1288338	-0.027549762	-0.1368494	-0.23617634	0.015034842	0.1274	59.0	235.68496704101562
61	-12.269406	2.5125673	-8.269213	-18.374868	50.0	-4.7646194	2.3257446	-0.079728976	-11.06551	310000	5.787611e-09	2.1264393	-0.02835052	-0.06902075	-0.25186533	0.012110254	0.112	79.0	239.66500425338745
62	-11.92936	2.3341799	-7.5642066	-17.484777	50.0	-4.795125	2.4465377	-0.14522694	-11.009347	315000	-2.592802e-09	2.0078106	-0.029900642	-0.06391394	-0.2670008	0.012176456	0.1336	79.0	243.74946904182434
63	-11.222844	2.3988252	-7.243784	-17.950768	50.0	-4.6018662	2.3942533	0.31484848	-11.164846	320000	-5.38826e-09	1.9469312	-0.028896626	-0.09523535	-0.2843707	0.015073538	0.1552	68.0	247.7229630947113
64	-11.743412	2.484284	-6.933422	-18.800812	50.0	-4.597617	2.2461758	0.13196686	-10.599457	325000	-1.0707974e-08	1.8400836	-0.030723017	-0.067403674	-0.29738915	0.013570709	0.1458	79.0	251.66313195228577
65	-11.2811165	2.1252098	-7.4137707	-16.926142	50.0	-4.5280924	2.3210044	0.47292	-10.462098	330000	4.4584274e-09	1.9244189	-0.029723661	-0.06606114	-0.31615916	0.0113822445	0.1442	79.0	255.78949809074402
66	-11.11012	2.7163823	-6.340332	-17.728384	50.0	-4.548761	2.1674309	0.39134473	-10.43832	335000	-2.002716e-08	2.1449456	-0.034566607	-0.08391976	-0.33207715	0.012543803	0.1526	79.0	259.80686712265015
67	-11.277408	2.6868415	-7.032951	-17.625597	50.0	-4.4630756	2.1677287	0.24135019	-10.316223	340000	7.724762e-09	1.9908906	-0.02031241	-0.07079673	-0.35048515	0.015250196	0.1234	26.0	263.40685391426086
68	-11.3898	2.8112729	-7.2139044	-18.089607	50.0	-4.4967904	2.229538	0.37861514	-10.406797	345000	-4.464388e-09	1.6030681	-0.02922048	-0.09818113	-0.3575871	0.012499144	0.1422	79.0	267.36898279190063
69	-10.853767	2.4537616	-6.9564586	-17.962326	50.0	-4.2539268	2.3585894	0.8305371	-10.323232	350000	1.9311905e-09	1.8349597	-0.028245999	-0.14126384	-0.3736046	0.011287991	0.1322	79.0	271.3356719017029
70	-10.278472	2.3430235	-6.5921545	-16.707615	50.0	-4.0887794	2.0380712	0.6762663	-9.982841	355000	3.5762787e-10	1.6867781	-0.030718725	-0.072250605	-0.39266565	0.015148723	0.1458	71.0	275.38268303871155
71	-11.107006	2.5925927	-6.810621	-17.806524	50.0	-4.1710634	2.0966742	0.053386733	-9.995861	360000	-2.5272369e-09	1.8263386	-0.023688715	-0.07079625	-0.40430814	0.0150386	0.1506	24.0	279.01348304748535
72	-10.444274	2.410173	-6.527205	-15.576548	50.0	-4.2536235	2.1603673	0.2250014	-10.090604	365000	-6.2704086e-09	1.4375273	-0.031928748	-0.104448795	-0.40918273	0.011506864	0.1566	79.0	282.81457901000977
73	-10.756235	2.7754536	-6.4360967	-16.340021	50.0	-4.106287	2.2125444	6.077529	-10.266956	370000	-3.9696695e-09	1.4510485	-0.03371006	-0.073418975	-0.4252359	0.015051913	0.1576	78.0	286.88588309288025
74	-10.432561	2.7664647	-6.235031	-19.847092	50.0	-3.934046	2.1590152	0.65565497	-10.169338	375000	1.9669533e-09	1.8885309	-0.024713185	-0.13725531	-0.44345126	0.015152016	0.1234	42.0	290.58909702301025
